person,id,id_type,gender,DOB,DOD,place_of_birth,field,education,affiliation,publications,membership_in_societies,awards_and_honors_received,image,notes,biography,relevant_links,collection,description,image_credit,image_notes
H. Anne Plettinger,anne-plettinger-physics,APS-WIS,F,1917-08-19,2012-02-09,"Bayou Sara, LA",Physics|Crystallography,Newcomb College|Tulane University,University of Chicago|Metallurgical Laboratory|Argonne National Laboratory,"Zachariasen, W. H., and H. A. Plettinger. ""Crystal chemical studies of the 5f-series of elements. XXV. The crystal structure of sodium uranyl acetate."" <i>Acta Crystallographica</i> 12, no. 7 (1959): 526-530.|Marezio, M., H. A. Plettinger, and W. H. Zachariasen. ""Refinement of the calcium metaborate structure."" <i>Acta Crystallographica</i> 16, no. 5 (1963): 390-392.",,,,"probably Zachariasen's assistant, thanked in papers as ""Miss Anne Plettinger,"" so doesn't seem shehad an advanced degree","Henrietta Anne Plettinger worked in the lab of William Zachariasen at the University of Chicago. Plettinger graduated from Newcomb College in 1939. In 1943, she received a position as a research assistant at the Metallurgical Laboratory working as part of the Manhattan Project. Here, she worked with Zachariasen and Rose Mooney-Slater, producing the majority of the diffraction images used in studying the structure of plutonium. She remained at Chicago for 30 years, coauthoring numerous papers with Zachariasen. Plettinger was also an active photographer. Upon retirement, she returned to her native Louisiana and was active as an environmental activist, advocating for the public in matters of nuclear energy.",https://www.dignitymemorial.com/obituaries/baton-rouge-la/h-anne-plettinger-9882996,Rose Mooney-Slater,"Anne Plettinger worked with Zachariason, and then at Argonne National Laboratories. Anne and Rose were very good friends and colleagues - they talked about personal moments, professional accomplishments and were very dear to each other.",,
Agnes Pockels,164710878,VIAF,F,1862-02-14,1935-11-21,Venice,Chemistry|Physics,,,"Pockels, Agnes. ""Surface Tension."" <i>Nature</i> 46 (1891): 437.|Pockels, Agnes. ""On the relative contamination of the water-surface by equal quantities of different substances."" <i>Nature</i> 47 (1892): 418-9.",,Laura R. Leonard Prize (Colloid Society)|Honorary Doctorate (Braunschweig University of Technology),https://upload.wikimedia.org/wikipedia/commons/e/e5/Agnes_Pockels_ca1922.jpg,,"Agnes Pockels was a German citizen scientist who was one of the first people to research surface tension. Pockels lived at a time when German universities were closed to women and, out of necessity, she was an autodidact. Her brother studied physics at the University of Göttingen, giving her access to his textbooks. While performing domestic chores, such as washing the dishes, Pockels started to ask questions about the effects of soap on water. She conducted experiments out of her own home, developing an apparatus to take measurements of the soapy water's surface properties. These experiments allowed Pockels to provide a thorough explanation of surface tension and paved the way for the modern discipline of surface science. Pockels never had a paid position as a scientist and, despite publishing 14 papers, spent most of her life as a caretaker for her parents. While it is unlikely Florence Sabin personally knew Pockels, Sabin featured Pockels in her article, ""Women in Science.""",,Florence Rena Sabin,"FRS states that Agnes Pockels was ""one of the very original workers on surface tension."" January 16, 1939 letter in Janet Howell Clark papers.","Agnes Pockels, Wikimedia Commons.",
Franca Podo,53337774,VIAF,F,1944-08-04,,Rome,Physics|Physical chemistry|Chemistry|Biology|Cancer research,"University degli Studi, Rome",Istituto Superiore di Sanità|Rockefeller University|University of Pennsylvania,"Podo, Franca, Lutgarde MC Buydens, Hadassa Degani, Riet Hilhorst, Edda Klipp, Ingrid S. Gribbestad, Sabine Van Huffel et al. ""Triple-negative breast cancer: present challenges and new perspectives."" <i>Molecular oncology</i> 4, no. 3 (2010): 209-229.|Podo, Franca. ""Tumour phospholipid metabolism."" <i>NMR in Biomedicine: An International Journal Devoted to the Development and Application of Magnetic Resonance In Vivo</i> 12, no. 7 (1999): 413-439.|Podo, Franca, Ashoka Ray, and George Nemethy. ""Structure and hydration of nonionic detergent micelles. High resolution nuclear magnetic resonance study."" <i>Journal of the American Chemical Society</i> 95, no. 19 (1973): 6164-6171.",,,,,"Franca Podo is an Italian physicist cell biologist. Podo specializes in nuclear magnetic resonance spectroscopy and imaging and has used it to study breast cancer and the progression of tumors. Podo earned her degree in physics in Rome in 1967 and began her lifelong career at the Istituto Superiore di Sanità (ISS). In 1971, she received a fellowship to study at Rockefeller University in the lab of George Nemethy. During her time in the United States, she sought out contact with Mildred Cohn and joined Cohn's lab in 1972. She returned to Italy the following year, where she continued her career at ISS. Podo has served as research director at ISS and the director of the section for physical biochemistry at ISS.",,Mildred Cohn,"Franca Podo worked at the Rockefeller Institute for a year, visited Cohn's lab, then returned to Italy. Cohn has Podo's articles in her papers.",,
Annie Porter,289560001,VIAF,F,1880,1963-05-08,,Biology|Zoology,,,,,,,,"Annie Porter was an English zoologist and parasitologist. She studied at the University College London and worked subsequently at the Quick Laboratory in Cambridge. In 1917, she moved to South Africa, working as Head of the Department of Parasitology at the South African institue for Medical Research in Johannesburg. In 1933, she became a research associate in zoology at McGill University in Montreal. She eventually returned to England. In 1928, she was nominated for the Ellen Richards Memorial Prize by the South African Federation for her exceptional work in parasitology.",,Florence Rena Sabin,Dr. Annie Porter recommedned for Ellen Swallow Richards Prize,,
Linda S. Powers,21181157,VIAF,F,1948-08-02,,Pittsburgh,Biophysics|Physics|Chemistry|Bioengineering,Virginia Polytechnic Institute|Harvard University,University of Pennsylvania|AT&T Bell Laboratories|Utah State University|University of Arizona,"Powers, L., B. Chance, Y-C. Ching, and P. Angiolillo. ""Structural features and the reaction mechanism of cytochrome oxidase: iron and copper X-ray absorption fine structure."" <i>Biophysical Journal</i> 34, no. 3 (1981): 465-498.|Brown, J. M., L. Powers, B. Kincaid, J. A. Larrabee, and Th G. Spiro. ""Structural studies of the hemocyanin active site. 1. Extended X-ray absorption fine structure (EXAFS) analysis."" <i>Journal of the American Chemical Society</i> 102, no. 12 (1980): 4210-4216.|Powers, L., W. E. Blumberg, Britton Chance, Clyde H. Barlow, J. S. Leigh Jr, Jerry Smith, Takashi Yonetani, Steven Vik, and Jack Peisach. ""The nature of the copper atoms of cytochrome c oxidase as studied by optical and x-ray absorption edge spectroscopy."" <i>Biochimica et Biophysica Acta (BBA)-Bioenergetics</i> 546, no. 3 (1979): 520-538.",American Physical Society|American Chemical Society|Biophysical Society,,/womeninscience/assets/img/Mss_Ms_Coll_160-001.jpg,,"Linda Powers is an American biophysicist. Powers was a pioneer in x-ray absorption spectroscopy. After receiving her PhD in physics from Harvard University in 1976, Powers worked in Britton Chance's laboratory at the University of Pennsylvania. She worked simultaneously at AT&T Bell Laboratories, spending more time there as she only ever achieved an adjunct position at Penn. In 1988, she received her first full-time academic job, taking a position at Utah State University. In 2007, she was appointed the Thomas R. Brown chair in bioengineering at the University of Arizona. Her more recent work focuses on microbe detection and developing sophisticated instruments for that purpose.",,Britton Chance|Mildred Cohn|Emanuel Ruben Piore,Cohn recommends Powers for inclusion in the American Society for Biological Chemists. Powers is also considered for Cohn's job at Penn when she retires.,"Linda Powers, Britton Chance Papers, APS.",
Persis Putnam,305455410,VIAF,F,,,,Statistics|Biostatistics|Tuberculosis research|Public health,Johns Hopkins University,"Rockefeller Foundation, International Health Division","Saward, E. Joyce, Persis Putnam, and Eugene L. Opie. ""The spread of tuberculosis in negro families of Jamaica, BWI."" <i>Am J Hyg Monograph Ser</i> 16, no. Feb (1941): 53.|Putnam, Persis. ""The Bionomics of Families Attending a Tuberculosis Dispensary: I. General Characteristics, with Special Reference to Housing and Economic Status."" <i>American Review of Tuberculosis</i> 28, no. 5 (1933): 537-572.|Opie, Eugene L., F. Maurice McPhedran, and Persis Putnam. ""The Fate of Persons in Contact with Tuber-losis; the Exogenous Infection of Children and Adults."" <i>American Journal of Hygiene</i> 22 (1935): 644-82.",,,,,"Persis Putnam was a biostatistician working in public health. After completing her PhD at Johns Hopkins University under the supervision of Lowell J. Reed in 1926, she assumed a position in the Rockefeller Foundation's International Health Division. Putnam was thanked and credited in numerous papers for her excellent statistical analysis, including in Eugene Opie's work with E. Joyce Isaacs on tuberculosis in Jamaica. She also authored numerous papers on tuberculosis, malaria, and other matters of public health. Some of the work done by Putnam, Opie, and Isaacs has been criticized for its focus on race in the spread of tuberculosis.",,Eugene Opie|Florence Rena Sabin,"Dr Persis Putnam, Lowell J. Reed recommends Dr. Putnam for a prize administered at Johns Hopkins U , Janet Howell Clark forwards the name to FRS(in folder Clark, Janet Howell). Series I, Box 4",,
Nancy E. Ragaini,nancy-ragaini-physics,APS-WIS,F,,,,Physics|Crystallography,,Massachusetts Institute of Technology,,,,,,"Nancy Ragaini served as a research assistant in Rose Mooney-Slater's lab at the Massachusetts Institute of Technology in the 1960s. Ragaini was responsible for obtaining and processing data, setting up the lab experiments, and monitoring and maintaining equipment. She continued to perform these duties after Mooney-Slater moved to Florida in 1965, essentially running the lab independently. Ragaini worked at MIT while her husband, Richard C. Ragaini, was completing his PhD in chemistry.",,Rose Mooney-Slater,"Nancy ran RMS's lab at MIT in 1964-65 and reported to RMS on the growth of crystals and status of lab, also sent imaging samples.",,
Elaine Ralli,217419612,VIAF,F,1894-05-13,1968-10-06,,Medicine|Physiology|Nutrition,,,,,,,,"Elaine Pandia Ralli was an American medical researcher who made important contributions to the study of metabolic diseases, particularly diabetes. Ralli received her undergraduate degree from Vassar in 1916 and her medical degree from New York University in 1925. In 1928, she began working at the metabolism clinics of Bellevue Hospital. In the 1950s, she oversaw a project to greatly increase the capacity of these clinics.",,Florence Rena Sabin,"Elaine P. Ralli - conducts a diabetic clinic at the NYU Medical College and researches on the Physiology of the pancreas (1939). Series I, Box 17",,
Pauline Ramart-Lucas,64121403,VIAF,F,1880-11-22,1953-03-17,Paris,Chemistry,University of Paris,University of Paris,,,,https://upload.wikimedia.org/wikipedia/commons/5/52/Pauline_Ramart_5_novembre_1927.jpg,,"Pauline Ramart-Lucas was a French chemist and politician. Ramart worked for several years as a research assistant at the Institut Pasteur. In 1924, she earned her doctorate in organic chemistry and was appointed professor at the University of Paris. Ramart spent most of her career at the University of Paris and became the second woman, after Marie Curie, to be appointed full professor. Her work concerned the relationship between ultraviolet light and chemical reactions. In 1928, she was awarded the Ellen Richards Research Prize.",https://en.wikipedia.org/wiki/Pauline_Ramart,Florence Rena Sabin,"Madame Ramart-Lucas, has done scientific work in Paris - recommedned for Ellen Swallow Richards Prize 1929","Agence Rol. Agence photographique, Pauline Ramart, gallica.bnf.fr / BnF.",
Sarah Ratner,272055027,VIAF,F,1903-06-09,1999-07-28,New York City,Biochemistry|Chemistry|Physiology|Pharmacology,Cornell University|Columbia University,Long Island College Hospital|Columbia University|New York University|Public Health Research Institute of New York,"Ratner, Sarah, and H. T. Clarke. ""The action of formaldehyde upon cysteine."" <i>Journal of the American Chemical Society</i> 59, no. 1 (1937): 200-206.|Ratner, Sarah, Barbara Petrack, and Olga Rochovansky. ""V. Biosynthesis of Urea: Isolation and Properties of Argininosuccinic Acid."" <i>Journal of Biological Chemistry</i> 204, no. 1 (1953): 95-113.|",American Chemical Society|National Academy of Sciences|American Academy of Arts and Sciences,Carl Neuberg Medal|Garvan-Olin Medal,,,"Sarah Ratner was an American biochemist. In 1920, she went to Cornell University to study chemistry on scholarship. Upon graduation, she worked for several years in a laboratory at Long Island College Hospital. In the early 1930s, Ratner continued her academic career, applying for doctoral studies in the lab of Hans Thacher Clarke at Columbia University. At the time, the only entrance requirement was surviving an intense one-on-one interview with Clarke, which Ratner passed successfully. During her time at Columbia, Ratner focused on problems in organic chemistry, studying the reactions of complex molecules. She also observed that a compound in human semen could cause uterine contractions, a finding that was published by her colleagues Raphael Kurzrok and Charles Lieb in a paper that acknowledged her assistance but did not provide coauthorship. Ratner had difficulty finding a position after graduation due to her gender, but eventually received a position in Rudolf Schoenheimer's lab at Columbia. In 1946, she became an assistant professor of pharmacology at New York University. In the mid-1950s, she left the university system to become a staff member at the Department of Biochemistry at the Public Health Research Institute of New York. Ratner's most significant scientific contributions concern metabolism, particularly amino acid metabolism and nitrogen metabolism. Her contributions have led to a more complete picture of disorders in urea synthesis.",,Erwin Chargaff|Hans Thacher Clarke|Mildred Cohn|Carl Neuberg,"Sarah Ratner - Public Health Research Institute of City of New York, Division of Nutrition and Physiology. Talked about writing an article together.","Sarah Ratner, National Academy of Sciences.",https://upload.wikimedia.org/wikipedia/en/9/92/Sarah_Ratner.jpg
Lowell J. Reed,58730576,VIAF,M,1886-01-08,1966-04-29,,Statistics|Biostatistics,,,,,,,,"Lowell J. Reed was a biostatistician and university administrator. Reed is credited with coining the term ""biostatistics"" and lectured in that field at Johns Hopkins University from 1918 to 1953. His students included Persis Putnam, a biostatistician who would go on to research tuberculosis. He nominated Putnam for an award administered by Johns Hopkins.",,,,,
Minnie Reed,4592113,VIAF,F,1867,1959,,Botany|Biology|Marine biology,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Minnie_Reed%2C_botanist.png,,"Minnie Reed was an American botanist. She published research on the mosses of Kansas and the seaweeds of Hawaii. She was educated at Kansas State Agricultural College, earning her Master's degree in botany in 1893. She later received a degree in marine biology in Berkeley, and conducted research in Hawaii. In 1911, she held the Naples Table at the Marine Biological Station in Naples.",,Florence Rena Sabin,Minnie Reed (holds the Naples Table in 1911),"Minnie Reed, botanist, Wikimedia Commons.",
Natasha Goldowski Renner,natasha-renner-physics,APS-WIS,F,1908,1966,Moscow,Physics|Chemistry,University of Paris,University of Chicago|University of Chicago Metallurgical Laboratory|Princeton University|Black Mountain College|Alfred University,,,,,,"Natasha Goldowski Renner was a physicist. Born in Moscow, she fled Russia in 1917 for France, where she finished her education and received her PhD from the University of Paris in 1939. She worked in France until the Nazi occupation and fled for the United States. In the United States, she worked on the Manhattan Project, creating an aluminum coating to protect uranium fuel in plutonium production reactors. After the end of the war, she lost her security clearance as part of the Red Scare. She spent the rest of her career as an educator, teaching at Princeton, Black Mountain College, and Alfred College.",https://en.wikipedia.org/wiki/Natasha_Goldowski_Renner,Rose Mooney-Slater,"Natasha, born Nathalie in Russia, Goldowski wrote to RMS in 1945 asking if she knew of any positions in science for teaching. In 1947 she lost her secuirty clearance due tot he Red Scare. Goldowski worked on the Manhattan Project, taught at an experimental college, Black Mountain College, and then","Marie Tavroges Stilkind, Natasha Goldowski, 1953. Gelatin silver print. Black Mountain College Museum + Arts Center Collection",https://upload.wikimedia.org/wikipedia/en/2/29/Natasha-Goldowski-by-Marie-Stilkind.jpg
Ellen Swallow Richards,27872501,VIAF,F,1842-12-03,1911-03-30,"Dunstable, MA",Chemistry|Home economics|Mineralogy|Ecology,Massachusetts Institute of Technology|Vassar College,,,,,https://upload.wikimedia.org/wikipedia/commons/8/89/Ellen_Swallow_Richards_%282%29.jpg,,"Chemist Ellen Swallow Richards was the first woman to attend MIT and to teach there. She studied first at Vassar College under the guidance of Maria Mitchell and Charles Farrar. Then while studying chemistry at MIT, she married Robert H. Richards, a mining engineer. Ellen Richards began the Women's Laboratory at MIT which operated from 1878-1883. After the closing of the Women's Laboratory, Richards became an instructor at MIT and worked there until the end of her life. Her research interests included studying the chemistry of the waters in the state of Massachusetts, industrial chemistry, and applied science. She became well-known in the home economics movement, but published widely on the chemistry of foods, air, water, and how to apply science to everyday life. She introduce the term ""ecology"" to English-speaking audiences and thought broadly on the health of the natural world. At the end of her life she presented a new theory called euthenics that posited if humans did not clean up the earth's water, air and food, humanity would die out. She was the first woman accepted into the American Institute for Mining Engineers.",https://en.wikipedia.org/wiki/Ellen_Swallow_Richards,Florence Rena Sabin,,"Ellen Richards in Caroline L. Hunt, <i>The Life of Ellen H. Richards</i> (London: Whitcomb and Barrows, 1912).",
Esther Richards,esther-richards-psychiatry,APS-WIS,F,1885,1956,"Holliston, MA",Psychiatry,Mount Holyoke College|Johns Hopkins University,,"Behavior Aspects of Child Conduct, Introduction to Psychobiology and Psychiatry",,,,,"Esther Richards was an American psychiatrist. After receiving her M.D. from the Johns Hopkins University School of Medicine, she joined the psychiatry faculty of the school of medicine and the staff of the hospital's Henry Phipps Psychiatric Clinic. She served as the psychiatrist-in-charge of the outpatient department of the Phipps Clinic from 1920 until her retirement. Along with her medical and academic responsibilities, Richards was active in the lecture unit and spent much of her time doing community service. She authored over 100 papers and two books.",https://medicalarchives.jhmi.edu/collection/esther-l-richards-collection/,Florence Rena Sabin,"Dr. Esther Richards, Psychiatrist, Johns Hopkins University",,https://medicalarchives.jhmi.edu/collection/esther-l-richards-collection/
Agnes Sanders Riley,70510917,APS-WIS,F,1902,2006-10-03,,Chemistry,Hollins College|University of Chicago,Newcomb College|Tulane University|University of Washington,,American Chemical Society|American Association for the Advancement of Science,,,"source for pay claim: Jane Miller, \""A Female-Dominated Field: Chemistry at Newcomb College, 1887-1970s,\"" in <i>Newcomb College, 1996-2006: Higher Education for Women in New Orleans</i>, eds. Susan Tucker and Beth Willinger, 196-210 (Baton Rouge: LSU Press, 2012), 205.","Agnes Graham Sanders Riley was an American chemist. She earned her undergraduate degree from Hollins College in 1924 and her MS from the University of Chicago in 1925, with a thesis on oxidation in the amino group diphenylmethylamine. She then became an instructor of chemistry at Newcomb College, where she collaborated with Rose Mooney-Slater. Though Riley was able to continue teaching at Newcomb after her marriage in 1937, she stopped receiving pay. Later in her life, Riley was a prolific genealogist and amateur historian.",,Rose Mooney-Slater,Agnes was a colleague of RMS at Newcomb. She taught chemistry. RMS recommended her for admission to Phi Beta Kappa.,,
Cathryn Riley,cathryn-riley-medicine,APS-WIS,F,,,,Medicine|Public health,,Johns Hopkins University,,,,,,"Cathryn Riley received her medical degree from Johns Hopkins University and also earned a Doctor of Public Health there in 1923. Florence Sabin recommended her as a candidate to be the director of occupational disease clinic at Massachusetts General Hospital, but it is unknown whether she received the position.",,Florence Rena Sabin,,,
Ethel Ronzoni,ethel-ronzoni-biochemistry,APS-WIS,F,1890-08-21,1971,California,Biochemistry|Chemistry|Physiology|Medicine|Home economics|Psychiatry,Mills College|Columbia University,University of Missouri|University of Minnesota|Washington University in St. Louis,"Ronzoni, Ethel, and Seymour Reichlin. ""Adrenergic agents and the adrenocorticotrophic activity of the anterior pituitary."" <i>American Journal of Physiology</i>160, no. 3 (1950): 490-498.|Ronzoni, Ethel. ""The excretion of dehydroisoandrosterone during adrenal stimulation with adrenocorticotropic hormone."" <i>The Journal of Clinical Endocrinology & Metabolism</i> 12, no. 5 (1952): 527-540.|Ronzoni, Ethel. ""Sodium pentobarbital anesthesia and the response of the adrenal cortex to stress."" <i>American Journal of Physiology</i> 160, no. 3 (1950): 499-505.",Society of Biological Chemistry,,https://upload.wikimedia.org/wikipedia/commons/7/73/Ethel_Ronzoni_Bishop_%281892-1975%29_B.jpg,,"Ethel Ronzoni was an American biochemist. Ronzoni attended college at Mills College without familial support and subsequently received a master's degree from Columbia University in 1914. She taught home economics at the University of Missouri and the University of Minnesota for a number of years before earning her PhD in physiology from the University of Wisconsin. In 1923, Ronzoni was appointed assistant professor in the Department of Medicine at Washington University in St. Louis. Ronzoni was the first woman to join the faculty of Washington University's School of Medicine. Ronzoni's research concerned carbohydrate metabolism, amino acid metabolism, and muscle biochemistry. Mildred Cohn noted that Ronzoni was an outstanding American chemist in a letter about notable American women.",https://en.wikipedia.org/wiki/Ethel_Ronzoni_Bishop,Mildred Cohn,Cohn notes that Ronzoni was an additional outstanding woman chemist. Ethel Ronzoni Bishop - taught home economics for a while before earning her PhD in biochemistry - https://en.wikipedia.org/wiki/Ethel_Ronzoni_Bishop,"Ethel Ronzoni Bishop, Smithsonian Institution Archives, Accession 90-105, Science Service Records, Image No. SIA2009-2446.",
Margaret Taylor Ross,margaret-ross-medicine,APS-WIS,F,,,,Medicine,,,,,,,,"Margaret Taylor Ross studied medicine at Johns Hopkins School of Medicine, taking classes with Florence Sabin. She graduated in 1920. She was later Physician-in-charge at Brigham Hall Hospital, in Canandaigua, New York.",,Florence Rena Sabin,"Dr. Margaret Taylor Ross, Physician-in-charge at Brigham Hall Hospital, Canandaigua, NY, she was a resident at Syracuse Psychopathic Hospital, May 1, 1940",,
Elizabeth Russell,84841281,VIAF,F,1913-05-01,2001-05-28,Ann Arbor,Genetics|Biology|Zoology,University of Michigan|Columbia University|University of Chicago,Jackson Laboratory,"Russell, Elizabeth S. ""Hereditary anemias of the mouse: a review for geneticists."" <i>Advances in genetics</i> 20 (1979): 357-459.|Russell, Elizabeth S., and Seldon E. Bernstein. ""Blood and blood formation."" <i>Biology of the laboratory mouse</i> 2 (1966): 351-372.|Craig, Marcia L., and Elizabeth S. Russell. ""A developmental change in hemoglobins correlated with an embryonic red cell population in the mouse."" <i>Developmental biology</i> 10, no. 2 (1964): 191-201.",National Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,Guggenheim Fellowship,https://upload.wikimedia.org/wikipedia/commons/3/39/ElizabethShullRussell.jpg,,"Elizabeth S. (""Tibby"") Russell worked in the field of mammalian development. She did significant genetic research on mutations and hemoglobin through her study of mice. She served on the council of the National Academy of Sciences, was a member of the American Academy of Arts and Sciences, the Vice-President and later the President-elect of the Genetics Society of America, and was on the advisory council of the National Institute on Aging. She also was a Guggenheim Fellow and was elected to the Maine Women's Hall of Fame.",https://en.wikipedia.org/wiki/Elizabeth_S._Russell,Thomas Foxen Anderson|Ernst W. Caspari|Genetics Society of America Records|Bentley Glass|Jackson Laboratory Oral History|Curt Stern|H. Eldon Sutton|Bruce Wallace|Sewall Wright,JHC informs FRS about Sherwood's death,"Elizabeth Shull Russell, Smithsonian Institution Archives, Accession 90-105, Science Service Records, Image No. SIA2009-2549.",
Gudrun Ruud,235149106375568492912,VIAF,F,1882-04-14,1958-12-31,Oslo,Zoology|Embryology|Biology,University of Oslo|Royal Frederick University,Zoological Laboratory,,Norwegian Academy of Science and Letters,,https://upload.wikimedia.org/wikipedia/commons/f/f7/GudrunRuud.jpg,,"Norwegian zoologist Gudrun Ruud studied salamanders, specifically axolotl. She graduated from the Royal Frederick University in 1913 and worked at the Zoological Laboratory. She discovered that axolotl could grow arms in an unexpected part of the body. Her mentor was Kristine Bonnevie, and she also worked with Hans Spemann in Berlin and Ross G. Harrison at Yale University. Ruud became a member of the Norwegian Academy of Science and Letters in 1932.",https://en.wikipedia.org/wiki/Gudrun_Ruud,L. C. Dunn,,"Gudrun Ruud, in <i>Studentene fra 1900: biografiske oplysninger samlet til 25-aars-jubilæet 1925</i> (Oslo: Grøndahl & Søn, 1925).",
Florence Rena Sabin,74652573,VIAF,F,1871-11-09,1953-10-03,"Central City, CO",Medicine|Anatomy|Embryology|Tuberculosis research|Pathology|Public health,Smith College|Johns Hopkins University,Johns Hopkins University|Rockerfeller Institute for Medical Research,,National Academy of Sciences,,https://diglib.amphilsoc.org/islandora/object/graphics:4469/datastream/JPG/view,,"Receiving a bachelor's degree from Smith College in 1893, Florence Rena Sabin entered the three year old medical school at Johns Hopkins University in 1896, graduating with the class of 1900. At Hopkins, Sabin became the protégé of Franklin P. Mall, who encouraged her research interests in anatomy. By any reckoning, her talent for medical investigation was enormous, earning her an internship at Hopkins Hospital, followed by a special fellowship in the Department of Anatomy from the Baltimore Association for the Advancement of University Education of Women. By 1917, Sabin was made a member of the faculty in the Department of Histology, the first woman at the University to be promoted to the status of full professor. Her early research centered on the embryological origins of the lymphatic system, and she later worked on the origins of blood, blood cells, and blood vessels, on the histology of the brain, and on the pathology and immunology of tuberculosis. In September, 1925, Sabin accepted the invitation to head the Department of Cellular Studies at the Rockefeller Institute, becoming the first woman faculty member there, and continuing her work on tuberculosis. She retired to Colorado in 1938, but emerged six years later at the request of the governor to chair a subcommittee on public health and help reform and modernize the state's public health system. She retired a second time in 1951 and died October 3, 1953.",,Franz Boas|George Washington Corner|Simon Flexner|H. S. Jennings|Warren H. Lewis|James Bumgardner Murphy|Peter K. Olitsky|Eugene Opie|W. J. V. Osterhout|Raymond Pearl|Thomas M. Rivers|Peyton Rous|Florence Rena Sabin|Florence Barbara Seibert,"Born in the mining town of Central City, Colorado, as the daughter of an engineer, Florence Rena Sabin was raised in New England and carved out a career of firsts in developmental biology and anatomy. Receiving a bachelor's degree from Smith College in 1893, Sabin entered the three year old medical school at Johns Hopkins University in 1896, becoming the first woman graduate from the school with the class of 1900. At Hopkins, Sabin became the protégé of Franklin P. Mall, who encouraged her research interests in anatomy. By any reckoning, her talent for medical investigation was enormous, earning her an internship at Hopkins Hospital, followed by a special fellowship in the Department of Anatomy from the Baltimore Association for the Advancement of University Education of Women. By 1917, Sabin was made a member of the faculty in the Department of Histology, the first woman at the University to be promoted to the status of full professor. Her early research centered on the embryological origins of the lymphatic system, and she later worked on the origins of blood, blood cells, and blood vessels, on the histology of the brain, and on the pathology and immunology of tuberculosis. In September, 1925, Sabin accepted the invitation to head the Department of Cellular Studies at the Rockefeller Institute, becoming the first woman faculty member there, and continuing her work on tuberculosis. She retired to Colorado in 1938, but emerged six years later at the request of the governor to chair a subcommittee on public health and help reform and modernize the state's public health system. She retired a second time in 1951 and died October 3, 1953. (From APS Finding Aid)","Florence Sabin, bust, formal, n.d., Florence Rena Sabin Papers, APS.",
Ruth Sager,45087442,VIAF,F,1918-02-07,1997-03-29,,Genetics|Biology|Zoology|Plant genetics|Cancer research|Molecular biology,,,,,,,,"Ruth Sager was an American geneticist. Sager is primarily known for two accomplishments: first, she discovered that genetic traits could be transmitted through chloroplast DNA, the first known example of gene transfer outside of the cell nucleus. Second, she was one of the first people to propose genetic causes for cancer. She received her undergraduate degree in biology in 1938 from the University of Chicago. Then, she attended Rutgers University, earning a master's degree in plant physiology in 1944. She earned her doctorate in maize genetics from Columbia University in 1948. While at Columbia, she worked with Barbara McClintock. After graduation, Sager worked as a researcher at the Rockefeller Institute and Columbia University. She was denied a faculty position until 1966, when she became a professor of biology at Hunter College. Although her research on cytoplasmic genetics was conducted in the 1950s and 1960s, it was largely ignored until the 1970s.",,Barbara McClintock|Ernst W. Caspari|Sewall Wright|Britton Chance|Genetics Society of America Records|Seymour S. Cohen|Bentley Glass|Salvador E. Luria|Thomas Foxen Anderson|Erwin Chargaff,,,
Julie Scheffler,julie-scheffer-biochemistry,APS-WIS,F,1955-05-20,,,Biochemistry|Chemistry|Biophysics|Pharmacology,University of Illinois Urbana Champaign|West Virginia University,University of Pennsylvania|Iowa State University|Hoffmann-La Roche|Bristol-Myers Squibb|Johnson & Johnson,"Scheffler, Julie E., and Mildred Cohn. ""Photochemically induced dynamic nuclear polarization NMR study of yeast and horse muscle phosphoglycerate kinase."" <i>Biochemistry</i> 25, no. 13 (1986): 3788-3796.|Scheffler, Julie E., David S. Waugh, Eva Bekesi, Susan E. Kiefer, Joseph E. LoSardo, Anthony Neri, Kathleen M. Prinzo, Kwei-Lan Tsao, Bogda Wegrzynski, and S. Donald Emerson. ""Characterization of a 78-residue fragment of c-Raf-1 that comprises a minimal binding domain for the interaction with Ras-GTP."" <i>Journal of Biological Chemistry</i> 269, no. 35 (1994): 22340-22346.|Scheffler, Julie E., and Lawrence J. Berliner. ""Aspartame and aspartame derivatives effect human thrombin catalytic activity."" <i>Biophysical chemistry</i> 112, no. 2-3 (2004): 285-291.",,,,"Cohn post-doc, very successful in Cohn's lab, Cohn supports in transition to industry","Julie Scheffler is an American biochemist. Her research concerns the structure of biomolecules. Scheffler received her PhD in 1980 from West Virginia University. Afterwards, Scheffler was a post-doctoral research assistant in Mildred Cohn's lab. She received a position at Iowa State University, but transitioned to industry in the late 1980s. She has had a successful career in pharmaceuticals, working for Bristol-Myers Squibb and Johnson & Johnson.",,Mildred Cohn,Julie Scheffler worked as a post-doc for Cohn from 1980-1982.,,
